selectBlock,greenText,redText,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,11.367524300003424,None,space,1.377684999955818,11.367524300003424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,0,0,24,0,0,0,0,,,,,,,,,,,12.767919600009918,None,18.80522820004262,20.808138600026723,18.80522820004262,20.808138600026723,1,1.188019199995324,18.80522820004262,20.808138600026723,20.79127830005018,None,22.798183600010816,24.81219740002416,22.798183600010816,23.81083190004574,23.79400270001497,24.795143500028644,24.795143500028644,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,1,1,2,0,0,0,0,,,,,,,,,,,,,26.797005700005684,28.798220700002275,26.797005700005684,28.798220700002275,2,0.6854489000397734,26.797005700005684,28.798220700002275,28.781760400044732,None,30.78287590004038,32.78463599999668,30.78287590004038,31.78354340000078,31.767513400001917,32.768160000036005,32.768160000036005,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,2,2,7,0,0,0,0,,,,,,,,,,,,,34.76998160005314,36.77237280004192,34.76998160005314,36.77237280004192,2,0.407132999971509,34.76998160005314,36.77237280004192,36.754179600044154,None,38.756563600036316,40.758200200041756,38.756563600036316,39.75730290001957,39.7403803000343,40.74148820003029,40.74148820003029,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,3,3,4,0,0,0,0,,,,,,,,,,,,,42.743343400012236,44.74439260002691,42.743343400012236,44.74439260002691,None,,42.743343400012236,44.74439260002691,44.7276841000421,None,46.73617250000825,48.74784180003917,46.73617250000825,47.747842900047544,47.713484700012486,48.7143602000433,48.7143602000433,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,4,4,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.716565100010484,52.717933400010224,50.716565100010484,52.717933400010224,2,0.3325147000141442,50.716565100010484,52.717933400010224,52.70206030004192,None,54.70584350003628,56.70489660004387,54.70584350003628,55.721185600035824,55.70377180003561,56.70489660004387,56.70489660004387,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,5,5,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.70626040000934,60.70803989999695,58.70626040000934,60.70803989999695,2,0.31081759999506176,58.70626040000934,60.70803989999695,60.690868100035004,None,62.692767500004265,64.69431760004954,62.692767500004265,63.693400100048166,63.67832410003757,64.67850209999597,64.67850209999597,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,6,6,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6798205000232,68.6813656000304,66.6798205000232,68.6813656000304,2,0.6892401000368409,66.6798205000232,68.6813656000304,68.66479810001329,None,70.66640610003378,72.66793300001882,70.66640610003378,71.66663240001071,71.65078500000527,72.65092919999734,72.65092919999734,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,7,7,12,0,0,0,0,,,,,,,,,,,,,74.65253040002426,76.65484990004916,74.65253040002426,76.65484990004916,2,0.7821942000300623,74.65253040002426,76.65484990004916,76.63771750003798,None,78.6400245000259,80.6410369000514,78.6400245000259,79.64043600001605,79.62400350003736,80.62526670005172,80.62526670005172,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,8,8,15,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62662200001068,84.62733610003488,82.62662200001068,84.62733610003488,None,,82.62662200001068,84.62733610003488,84.6116024000221,None,86.61464590003015,88.61449510004604,86.61464590003015,87.61408420000225,87.59782770002494,88.59787090000464,88.59787090000464,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,9,9,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.59944320004433,92.60110730002634,90.59944320004433,92.60110730002634,2,1.3936800999799743,90.59944320004433,92.60110730002634,92.58503310004016,None,94.58724320004694,96.5876997000305,94.58724320004694,95.5874803000479,95.57032900000922,96.57108980003977,96.57108980003977,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,10,10,19,0,0,0,0,,,,,,,,,,,,,98.57393980002962,100.5744736000197,98.57393980002962,100.5744736000197,2,1.7239218999748118,98.57393980002962,100.5744736000197,100.55743200000143,None,102.55962230003206,104.5609585000202,102.55962230003206,103.56034520000685,103.54353610001272,104.54426230001263,104.54426230001263,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,11,11,16,0,0,0,0,,,,,,,,,,,,,106.5469076000154,108.54908860003343,106.5469076000154,108.54908860003343,2,1.3663109000190161,106.5469076000154,108.54908860003343,108.53163000004133,None,110.53320450003957,112.53512330004014,110.53320450003957,111.53322990000015,111.51688850001665,112.51816490001511,112.51816490001511,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,12,12,18,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,114.51954750000732,116.520036300004,114.51954750000732,116.520036300004,None,,114.51954750000732,116.520036300004,116.50423940003384,None,118.50901290000184,120.52460210002027,118.50901290000184,119.52256060001673,119.50584440003149,120.50735680002254,120.49115730001358,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,12,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,13,13,23,0,0,0,0,,,,,,,,,,,,,122.49194010003703,124.4940281000454,122.49194010003703,124.4940281000454,2,0.34973410004749894,122.49194010003703,124.4940281000454,124.47734169999603,None,126.47926910000388,128.4812923000427,126.47926910000388,127.48049600003287,127.4627442000201,128.4635010000202,128.4635010000202,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,13,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,14,14,5,0,0,0,0,,,,,,,,,,,,,130.4653747000266,132.46761000005063,130.4653747000266,132.46761000005063,2,0.5520740000065416,130.4653747000266,132.46761000005063,132.45057340001222,None,134.45258030004334,136.4535884000361,134.45258030004334,135.45471380004892,135.4371453000349,136.43719490000512,136.43719490000512,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,14,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,15,15,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,138.43921840004623,140.44101030001184,138.43921840004623,140.44101030001184,None,,138.43921840004623,140.44101030001184,140.4237963000196,None,142.4253505000379,144.42692340002395,142.4253505000379,143.42604590003612,143.40963590005413,144.41127920005238,144.41127920005238,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,16,16,13,0,0,0,0,,,,,,,,,,,,,146.41246730001876,148.41380270000082,146.41246730001876,148.41380270000082,None,,146.41246730001876,148.41380270000082,148.39711790002184,None,150.4018731000251,152.4171271000523,150.4018731000251,151.41652190004243,151.38288070005365,152.38368200004334,152.38368200004334,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,16,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,17,17,21,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,154.38524309999775,156.38777840003604,154.38524309999775,156.38777840003604,None,,154.38524309999775,156.38777840003604,156.37064790003933,None,158.37201990000904,160.37428640003782,158.37201990000904,159.3739597000531,159.35619250003947,160.35711300000548,160.35711300000548,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,17,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,18,18,0,0,0,0,0,,,,,,,,,,,,,162.35947010002565,164.36076599999797,162.35947010002565,164.36076599999797,2,1.1859710999997333,162.35947010002565,164.36076599999797,164.3437327000429,None,166.34905590000562,168.3646440000157,166.34905590000562,167.36385620001238,167.3294344000169,168.33104870002717,168.33104870002717,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,19,19,17,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,170.33234660001472,172.33351620001486,170.33234660001472,172.33351620001486,2,0.9889446999877691,170.33234660001472,172.33351620001486,172.31704850000096,None,174.32062990003033,176.31978000001982,174.32062990003033,175.3362837000168,175.30297720001545,176.30424830003176,176.30424830003176,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,19,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,20,20,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,178.30519320000894,180.30647770001087,178.30519320000894,180.30647770001087,None,,178.30519320000894,180.30647770001087,180.29021560004912,None,182.29520059999777,184.29327570000896,182.29520059999777,183.30906450003386,183.27601890004007,184.27788599999622,184.27788599999622,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,20,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,21,21,22,0,0,0,0,,,,,,,,,,,,,186.2800332000479,188.28115950000938,186.2800332000479,188.28115950000938,None,,186.2800332000479,188.28115950000938,188.26440110005205,None,190.26784570002928,192.26717990002362,190.26784570002928,191.28355670004385,191.24978880002163,192.2503723000409,192.2503723000409,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,21,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,22,22,20,0,0,0,0,,,,,,,,,,,,,194.25292860000627,196.2538993000053,194.25292860000627,196.2538993000053,2,1.6923175999545492,194.25292860000627,196.2538993000053,196.23745480005164,None,198.26875420002034,200.27401440002723,198.26875420002034,199.2731172000058,199.22261029999936,200.22456470003817,200.22456470003817,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,22,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,23,23,6,0,0,0,0,,,,,,,,,,,,,202.22535770002287,204.2271741000004,202.22535770002287,204.2271741000004,2,1.3842949999962002,202.22535770002287,204.2271741000004,204.2104845000431,None,206.213226700027,208.2133615000057,206.213226700027,207.21281880000606,207.19608590001008,208.1970315000508,208.1970315000508,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,23,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,24,24,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,210.19869370001834,212.19990900001721,210.19869370001834,212.19990900001721,None,,210.19869370001834,212.19990900001721,212.18338480003877,None,214.18557990004774,216.18721330002882,214.18557990004774,215.1855782000348,215.16908820002573,216.17059230001178,216.17059230001178,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,24,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.17199900001287,None,space,13.389341000001878,218.17199900001287,None,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
