Rows,CueType1,CueType2,nReps1,Player1Var,Player2Var,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomlyPresent.thisRepN,randomlyPresent.thisTrialN,randomlyPresent.thisN,randomlyPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,text_2.started,text_2.stopped,enter2.keys,enter2.rt,enter2.started,enter2.stopped,typedWord,dollar2.started,dollar2.stopped,Feedback2.started,Feedback2.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,15.902842000126839,None,space,5.076153200119734,15.902842000126839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,6,,,,,0,0,0,0,,,,,,,36.39822640013881,None,23.022088499972597,None,32.10472230007872,None,32.10472230007872,None,32.10472230007872,None,32.10472230007872,None,return,4.266624299809337,32.10472230007872,None,3,32.10472230007872,None,38.42379050003365,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,1,1,0,,,,,0,0,0,0,,,,,,,47.89049970009364,None,,,45.41118329996243,None,45.41118329996243,None,45.41118329996243,None,45.41118329996243,None,return,2.4638380999676883,45.41118329996243,None,2,45.41118329996243,None,49.9090937001165,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,56.99825150007382,None,,,,,,,,,,,,,,,2,,,,,54.94091030000709,None,54.94091030000709,None,54.94091030000709,None,return,2.039067099802196,54.94091030000709,None,54.94091030000709,None,54.94091030000709,None,59.01544180000201,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,64.00413260003552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,3,3,4,,,,,0,0,0,0,,,,,,,70.37619880004786,None,,,68.01190689997748,None,68.01190689997748,None,68.01190689997748,None,68.01190689997748,None,return,2.342983999988064,68.01190689997748,None,4,68.01190689997748,None,72.39300930011086,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,4,4,5,0,0,0,0,,,,,,,,,,,79.33363880007528,None,,,,,,,,,,,,,,,4,,,,,77.38940660003573,None,77.38940660003573,None,77.38940660003573,None,return,1.9260792001150548,77.38940660003573,None,77.38940660003573,None,77.38940660003573,None,81.34957280009985,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,86.33902790001594,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,5,5,3,0,0,0,0,,,,,,,,,,,90.24262459995225,None,,,,,,,,,,,,,,,5,,,,,88.34886020002887,None,88.34886020002887,None,88.34886020002887,None,return,1.8781485999934375,88.34886020002887,None,88.34886020002887,None,88.34886020002887,None,92.25870420015417,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,97.2484069999773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,6,6,1,,,,,0,0,0,0,,,,,,,103.57038579997607,None,,,101.25594830000773,None,101.25594830000773,None,101.25594830000773,None,101.25594830000773,None,return,2.2990701999515295,101.25594830000773,None,5,101.25594830000773,None,105.58794790017419,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,7,7,9,,,,,0,0,0,0,,,,,,,114.52931610005908,None,,,112.58292199997231,None,112.58292199997231,None,112.58292199997231,None,112.58292199997231,None,return,1.9161955001764,112.58292199997231,None,5,112.58292199997231,None,116.53115319996141,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,8,8,7,0,0,0,0,,,,,,,,,,,124.304171100026,None,,,,,,,,,,,,,,,5,,,,,121.54298190004192,None,121.54298190004192,None,121.54298190004192,None,return,2.7322144999634475,121.54298190004192,None,121.54298190004192,None,121.54298190004192,None,126.3207054999657,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,131.3100776001811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,9,9,8,0,0,0,0,,,,,,,,,,,136.9648415001575,None,,,,,,,,,,,,,,,5,,,,,133.31908000004478,None,133.31908000004478,None,133.31908000004478,None,return,3.6278692001942545,133.31908000004478,None,133.31908000004478,None,133.31908000004478,None,138.96650400012732,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,143.97067270008847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
000:010,REGULATE,REACT,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,0,0,4,0,0,0,0,,,,,,,,,,,183.369906200096,None,147.97818149998784,None,,,,,,,,,,,,,4,,,,,154.9938263001386,None,154.9938263001386,None,154.9938263001386,None,return,28.35306859994307,154.9938263001386,None,154.9938263001386,None,154.9938263001386,None,185.3904365999624,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,0,0,4,,,,,,,,,,,,,,,190.39241220010445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,1,1,7,,,,,0,0,0,0,,,,,,,196.79788099997677,None,,,194.3833354001399,None,194.3833354001399,None,194.3833354001399,None,194.3833354001399,None,return,2.387857000110671,194.3833354001399,None,5,194.3833354001399,None,198.79946060013026,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,2,2,8,0,0,0,0,,,,,,,,,,,205.85527830012143,None,,,,,,,,,,,,,,,5,,,,,203.81153950002044,None,203.81153950002044,None,203.81153950002044,None,return,2.015416500158608,203.81153950002044,None,203.81153950002044,None,203.81153950002044,None,207.87211710005067,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,2,2,8,,,,,,,,,,,,,,,212.86153340013698,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,3,3,1,0,0,0,0,,,,,,,,,,,217.3149143999908,None,,,,,,,,,,,,,,,5,,,,,214.87114090006799,None,214.87114090006799,None,214.87114090006799,None,return,2.411920999875292,214.87114090006799,None,214.87114090006799,None,214.87114090006799,None,219.33128740009852,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,3,3,1,,,,,,,,,,,,,,,224.32069870014675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,4,4,6,0,0,0,0,,,,,,,,,,,228.05680550006218,None,,,,,,,,,,,,,,,5,,,,,226.32962480001152,None,226.32962480001152,None,226.32962480001152,None,return,1.7052857999224216,226.32962480001152,None,226.32962480001152,None,226.32962480001152,None,230.07605589996092,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,4,4,6,,,,,,,,,,,,,,,235.0629096000921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,5,5,5,,,,,0,0,0,0,,,,,,,241.05116669996642,None,,,239.07043480011635,None,239.07043480011635,None,239.07043480011635,None,239.07043480011635,None,return,1.956674400018528,239.07043480011635,None,5,239.07043480011635,None,243.05284780007787,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,6,6,3,,,,,0,0,0,0,,,,,,,252.52740530017763,None,,,250.06267779995687,None,250.06267779995687,None,250.06267779995687,None,250.06267779995687,None,return,2.4362383000552654,250.06267779995687,None,5,250.06267779995687,None,254.54454530007206,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,7,7,2,0,0,0,0,,,,,,,,,,,261.2180034001358,None,,,,,,,,,,,,,,,5,,,,,259.54075130005367,None,259.54075130005367,None,259.54075130005367,None,return,1.6463053000625223,259.54075130005367,None,259.54075130005367,None,259.54075130005367,None,263.2196714000311,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,1,Player 1,Player 2,0,0,1,1,1,0,7,7,2,,,,,,,,,,,,,,,268.22374349995516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,8,8,0,,,,,0,0,0,0,,,,,,,274.2287165001035,None,,,272.23087720014155,None,272.23087720014155,None,272.23087720014155,None,272.23087720014155,None,return,1.9800476001109928,272.23087720014155,None,5,272.23087720014155,None,276.2465362001676,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,0,Player 1,Player 2,1,0,1,1,1,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
011:020,REACT,REGULATE,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,0,0,4,,,,,0,0,0,0,,,,,,,294.32886570016854,None,283.2359468000941,None,292.2495326001663,None,292.2495326001663,None,292.2495326001663,None,292.2495326001663,None,return,2.0577209000475705,292.2495326001663,None,5,292.2495326001663,None,296.3456864999607,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,1,1,5,,,,,0,0,0,0,,,,,,,310.80907850014046,None,,,303.3443935001269,None,303.3443935001269,None,303.3443935001269,None,303.3443935001269,None,return,7.442885999800637,303.3443935001269,None,4,303.3443935001269,None,312.8255255999975,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,2,2,3,,,,,0,0,0,0,,,,,,,321.6681046001613,None,,,319.82162600010633,None,319.82162600010633,None,319.82162600010633,None,319.82162600010633,None,return,1.8293503001332283,319.82162600010633,None,5,319.82162600010633,None,323.6844634001609,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,3,3,1,,,,,0,0,0,0,,,,,,,338.7155436000321,None,,,330.68210240011103,None,330.68210240011103,None,330.68210240011103,None,330.68210240011103,None,return,8.008966999826953,330.68210240011103,None,5,330.68210240011103,None,340.73361890017986,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,4,4,8,,,,,0,0,0,0,,,,,,,349.5919753999915,None,,,347.7294233001303,None,347.7294233001303,None,347.7294233001303,None,347.7294233001303,None,return,1.8415371999144554,347.7294233001303,None,5,347.7294233001303,None,351.6097929000389,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,0,Player 1,Player 2,1,0,2,2,2,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,1,Player 1,Player 2,0,0,2,2,2,0,5,5,6,0,0,0,0,,,,,,,,,,,361.5012529999949,None,,,,,,,,,,,,,,,5,,,,,356.60636069998145,None,356.60636069998145,None,356.60636069998145,None,return,4.8686190999578685,356.60636069998145,None,356.60636069998145,None,356.60636069998145,None,363.5183543001767,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,1,Player 1,Player 2,0,0,2,2,2,0,5,5,6,,,,,,,,,,,,,,,368.50666050007567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,1,Player 1,Player 2,0,0,2,2,2,0,6,6,0,0,0,0,0,,,,,,,,,,,372.86071250005625,None,,,,,,,,,,,,,,,5,,,,,370.51630920008756,None,370.51630920008756,None,370.51630920008756,None,return,2.318559200037271,370.51630920008756,None,370.51630920008756,None,370.51630920008756,None,374.8761632000096,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,1,Player 1,Player 2,0,0,2,2,2,0,6,6,0,,,,,,,,,,,,,,,379.86644889996387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
