CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_2.started,text_2.stopped,Iti.started,Iti.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,6.805736000002071,None,space,2.6696675999992294,6.805736000002071,None,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,9.534456400000636,11.543535199998587,11.509916700000758,None,13.51471390000006,None,21.531976199999917,None,None,None,0.0006565800031239633,None,21.531976199999917,None,26.50571879999916,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,003:0021,REACT,picnic1.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,28.510935099999188,None,36.497541900000215,41.4849006000004,None,None,0.012799690000974806,None,36.497541900000215,None,41.50159079999867,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,003:0021,REACT,frustratedpose7.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,43.50520609999876,None,51.50991079999949,56.48070839999855,None,None,0.015730489998531993,None,51.50991079999949,None,56.49743529999978,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,003:0021,REACT,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.49908580000192,None,space,2.1921196000002965,58.49908580000192,None,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,sad4.jpg,,,,,,,,,0,0,0,4,0,0,0,13,,,,,,,60.720728600001166,62.735860500000854,62.71911480000199,None,64.730909599999,None,72.72759249999945,77.69838950000121,None,None,0.01562719000139623,None,72.72759249999945,None,77.73174310000104,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,school4.jpg,,,,,,,,,0,0,0,4,0,1,1,1,,,,,,,,,,,79.73977500000183,None,87.72335799999928,92.69408029999977,None,None,0.01573619000191684,None,87.72335799999928,None,92.72750929999893,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,biking.jpg,,,,,,,,,0,0,0,4,0,2,2,8,,,,,,,,,,,94.73548819999996,None,102.73578139999881,107.7065666999988,None,None,0.015610890000971267,None,102.73578139999881,None,107.72324759999901,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,police2.jpg,,,,,,,,,0,0,0,4,0,3,3,9,,,,,,,,,,,109.73231149999992,None,117.73156350000136,122.7023990000016,None,None,0.01572918999954709,None,117.73156350000136,None,122.73553510000056,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,parade1.jpg,,,,,,,,,0,0,0,4,0,4,4,14,,,,,,,,,,,124.74401239999861,None,132.727378399999,137.69837520000146,None,None,0.015712690001237206,None,132.727378399999,None,137.73132690000057,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,guitar.jpg,,,,,,,,,0,0,0,4,0,5,5,4,,,,,,,,,,,139.7395378000001,None,147.72306580000077,152.69400049999967,None,None,0.015734190001239767,None,147.72306580000077,None,152.72720779999872,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,gun.jpg,,,,,,,,,0,0,0,4,0,6,6,0,,,,,,,,,,,154.735676100001,None,162.73559129999921,167.70644259999972,None,None,0.015708590002759593,None,162.73559129999921,None,167.72311809999883,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,mother2.jpg,,,,,,,,,0,0,0,4,0,7,7,11,,,,,,,,,,,169.72985429999972,None,177.73141609999948,182.7020431000019,None,None,0.01569939000182785,None,177.73141609999948,None,182.7353929000019,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,surprise2.jpg,,,,,,,,,0,0,0,4,0,8,8,12,,,,,,,,,,,184.7431953000014,None,192.72712229999888,197.69781779999903,None,None,0.0156994900025893,None,192.72712229999888,None,197.7312579999998,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,eating2.jpg,,,,,,,,,0,0,0,4,0,9,9,15,,,,,,,,,,,199.73980640000082,None,207.72281949999888,212.69370410000192,None,None,0.015694090005126782,None,207.72281949999888,None,212.7269793000014,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,sadpose1.jpg,,,,,,,,,0,0,0,4,0,10,10,5,,,,,,,,,,,214.7344833999996,None,222.73523550000027,227.70616620000146,None,None,0.015672390003601322,None,222.73523550000027,None,227.72276599999896,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,doctor3.jpg,,,,,,,,,0,0,0,4,0,11,11,7,,,,,,,,,,,229.7305192999993,None,237.73123380000106,242.70190210000146,None,None,0.01572898999802419,None,237.73123380000106,None,242.73537579999902,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,picnic.jpg,,,,,,,,,0,0,0,4,0,12,12,2,,,,,,,,,,,244.74273620000167,None,252.72703270000056,257.69776660000207,None,None,0.015712489999714307,None,252.72703270000056,None,257.7312425000018,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,bored.jpg,,,,,,,,,0,0,0,4,0,13,13,3,,,,,,,,,,,259.7393625000004,None,267.72282690000065,272.6934846000004,None,None,0.015734389999124687,None,267.72282690000065,None,272.7269468000013,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,war3.jpg,,,,,,,,,0,0,0,4,0,14,14,16,,,,,,,,,,,274.73512069999924,None,282.7352959999989,287.7057676000004,None,None,0.015662589998100884,None,282.7352959999989,None,287.72278860000006,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,dancing1.jpg,,,,,,,,,0,0,0,4,0,15,15,17,,,,,,,,,,,289.7314262,None,297.73111620000054,302.7015542000008,None,None,0.015732490002847044,None,297.73111620000054,None,302.7351901000002,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,gazing4.jpg,,,,,,,,,0,0,0,4,0,16,16,6,,,,,,,,,,,304.74412759999905,None,312.72653920000084,317.6976938000007,None,None,0.015710390001913765,None,312.72653920000084,None,317.7309800000003,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,baby3.jpg,,,,,,,,,0,0,0,4,0,17,17,10,,,,,,,,,,,319.7387342000002,None,327.7224955999991,332.69329300000027,None,None,0.015657690000807634,None,327.7224955999991,None,332.7267102000005,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REGULATE,0075:93,REACT,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REACT,0021:0039,REGULATE,depressed.jpg,,,,,,,,,0,1,1,1,0,0,0,5,,,,,,,334.7281330000005,336.73004370000126,336.71296350000193,None,338.7241796999988,None,346.72167310000077,351.69229709999854,None,None,0.01562488999843481,None,346.72167310000077,None,351.7256235999994,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REACT,0021:0039,REGULATE,rugby.jpg,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,353.73351280000134,None,361.73410839999997,366.704794199999,None,None,0.015538989999186015,None,361.73410839999997,None,366.7214085000014,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
REACT,0021:0039,REGULATE,happy.jpg,,,,,,,,,0,1,1,1,0,2,2,14,,,,,,,,,,,368.7293094000015,None,376.7297581999992,381.7005839000012,None,None,0.0156514900008915,None,376.7297581999992,None,381.73413300000175,None,,,,,,,4,001,2019_Nov_21_1415,EmotRegPavlovia,3.2.4,60.0240456314742,
