MainLeftText,MainRightText,MainDilemmas,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,riskyAdDis,Evgamble,sureGroup,sureGroupText
Workers in Room A: 5,Probability of escape: 35%,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 3 workers in Room B lived.

The  ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,ad,3,3,Workers in Room B: 3
Workers in Room A: 10,Probability of escape: 50%,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The  ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,dis,3.5,4,Workers in Room B: 4
Workers in Room A: 6,Probability of escape: 65%,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The  ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,EQUAL,~4,4,Workers in Room B: 4
Workers in Room A: 12,Probability of escape: 50%,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 6 workers in Room B lived.

The  ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,EQUAL,6,6,Workers in Room B: 6
Workers in Room A: 5,Probability of escape: 65%,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The  ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,dis,3.25,4,Workers in Room B: 4
People on bus: 7,"Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The   ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,dis,3.5,2,People in the car: 2
People on bus: 9,"Probability bus will 
drive to safety: 35%","• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The   ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,EQUAL,~6,6,People in the car: 6
People on bus: 6,"Probability bus will 
drive to safety: 50%","• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The   ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,EQUAL,~2,2,People in the car: 2
People on bus: 10,"Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The   ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,ad,6.5,7,People in the car: 7
People on bus: 7,"Probability bus will 
drive to safety: 35%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The   ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,ad,-3.5,4,People in the car: 4
"People drowning
 in the west: 11","Probability of alternate 
rescue boat reaching them: 50%","• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The   ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people drowing in the west,dis,5.5,5,People drowning in the east: 5
"People drowning
 in the west: 10","Probability of alternate 
rescue boat reaching them: 35%","• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The   ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people drowing in the west,ad,6.5,6,People drowning in the east: 6
"People drowning
 in the west: 8","Probability of alternate 
rescue boat reaching them: 50%","• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The   ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people drowing in the west,dis,4,3,People drowning in the east: 3
"People drowning
 in the west: 8","Probability of alternate 
rescue boat reaching them: 65%","• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The   ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people drowing in the west,EQUAL,~3,2,People drowning in the east: 2
"People drowning
 in the west: 12","Probability of alternate 
rescue boat reaching them: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The   ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people drowing in the west,EQUAL,6,6,People drowning in the east: 6
"Repairmen on 
main track: 6","Probability of 
evacuation: 35%","• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 3 repairmen on the sidetrack lived.

The  ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,EQUAL,3,3,Repairmen on sidetrack: 3
"Repairmen on 
main track: 7","Probability of 
evacuation: 65%","• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 3 repairmen on the sidetrack lived.

The  ","The 3 repairmenon the sidetrack  died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,ad,2.45,3,Repairmen on sidetrack: 3
"Repairmen on 
main track: 5","Probability of 
evacuation: 65%","• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 2 repairmen on the sidetrack lived.

The  ","The 2 repairmen on the sidetrack  died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,dis,-3.25,2,Repairmen on sidetrack: 2
"Repairmen on 
main track: 6","Probability of 
evacuation:  50%","• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 4 repairmen on the sidetrack lived.

The  ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,EQUAL,~4,4,Repairmen on sidetrack: 4
"Repairmen on 
main track: 7","Probability of 
evacuation: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 2 repairmen on the sidetrack lived.

The  ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,dis,2.45,2,Repairmen on sidetrack: 2
"Customers in main
dining room: 6","Probability customers
will be spared: 35%","• You are working in the kitchen of a café, and see a terrorist throw a grenade next to the main dining room, in which a number of customers are eating

• If nothing is done the grenade will explode and the walls of the main dining room will collapse and kill these customers","Plan: Throw the grenade onto the patio, killing the customers there
Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 3 customers on the patio lived.

The   ","The 3 customers on the patio died.

The 6 customers in the main dining room were saved.",6,35, customers in the main dining room,dis,2.1,3,Customers on the patio: 3
"Customers in main
dining room: 14","Probability customers
will be spared: 50%","• There is only one other location the grenade could be thrown before it explodes, and that is the patio outside of the main dining room

• There are other customers sitting on the patio, and they would certainly be killed if the grenade is thrown there","Plan: Throw the grenade onto the patio, killing the customers there
Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The   ","The 7 customers on the patio died.

The 14 customers in the main dining room were saved.",14,50, customers in the main dining room,EQUAL,7,7,Customers on the patio: 7
"Customers in main
dining room: 5","Probability customers
will be spared: 35%","• You have time to run out and throw the grenade to the patio, without risking any harm to yourself","Plan: Throw the grenade onto the patio, killing the customers there

Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The   ","The 2 customers on the patio died.

The 5 customers in the main dining room were saved.",5,50, customers in the main dining room,AD,2.5,2,Customers on the patio: 2
"Customers in main
dining room: 7","Probability customers
will be spared: 65%","• If you do this, the customers in the dining room will live but the customers on the patio will die 

• You also know that there is a chance that the dining room walls will withstand the blast of the grenade explosion, and the customers would be spared","Plan: Throw the grenade onto the patio, killing the customers there
Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 2 customers on the patio lived.

The   ","The 2 customers on the patio died.

The 7 customers in the main dining room were saved.",7,35, customers in the main dining room,ad,2.45,2,Customers on the patio: 2
"Customers in main
dining room: 9","Probability customers
will be spared: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Throw the grenade onto the patio, killing the customers there
Do nothing: The customers on the patio will live, the group in the dining room has a chance of surviving","The 7 customers on the patio lived.

The   ","The 7 customers on the patio died.

The 9 customers in the main dining room were saved.",9,65, customers in the main dining room,dis,5.85,7,Customers on the patio: 7
"Workers in the 
office building: 4","Probability the Bomb Squad
will arrive in time: 35%","• There has been a bomb planted in two buildings, drawing from the same set of wires

• You are a citizen who has found the wires that control the bomb","Plan: Cut the green wire, blowing up the family in the home
Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The  ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,ad,2.6,3,Family members in the home: 3
"Workers in the 
office building: 7","Probability the Bomb Squad
will arrive in time: 65%","• The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

• The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ","Plan: Cut the green wire, blowing up the family in the home
Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The  ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,dis,4.55,4,Family members in the home: 4
"Workers in the 
office building: 13","Probability the Bomb Squad
will arrive in time: 50%","• The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

• If you do nothing, the bomb will default to blow up the office building  ","Plan: Cut the green wire, blowing up the family in the home
Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The  ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,DIS,4.55,4,Family members in the home: 4
"Workers in the 
office building: 9","Probability the Bomb Squad
will arrive in time: 50%",• You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,"Plan: Cut the green wire, blowing up the family in the home
Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The  ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,EQUAL,~3,3,Family members in the home: 3
"Workers in the 
office building: 6","Probability the Bomb Squad
will arrive in time: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Cut the green wire, blowing up the family in the home
Do nothing: The family will live, the office group has a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The  ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,dis,3,2,Family members in the home: 2
"Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Plan: Open the hatch, killing the crewmembers there

Do Nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The  ","The 4 crewmembers died.

The group of 8 passengers were saved.",8,35, group of passengers,equal,4,4,Crewmembers in the lower section: 4
"Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Plan: Open the hatch, killing the crewmembers there

Do Nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The  ","The 4 crewmembers died.

The group of 7 passengers were saved.",7,50, group of passengers,ad,-3.5,4,Crewmembers in the lower section: 4
"Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%"," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Plan: Open the hatch, killing the crewmembers there

Do Nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The group of 6 passengers were saved.",6,50, group of passengers,dis,3,5,Crewmembers in the lower section: 5
"Passengers in the
submarine: 10","Probability the passengers will 
break open a window: 50%","• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Plan: Open the hatch, killing the crewmembers there

Do Nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The group of 10 passengers were saved.",10,50, group of passengers,EQUAL,5,5,Crewmembers in the lower section: 5
"Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Open the hatch, killing the crewmembers there
Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The  ","The 8 crewmembers died.

The group of 9 passengers were saved.",9,65, group of passengers,ad,5.85,8,Crewmembers in the lower section: 8
"Tourists in the 
enclosure: 11","Probability the tourists
will escape: 50%","• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The  ","The 3 zookeepers died. 

The 11 tourists in the lion enclosure escaped.",11,35, tourists in the enclosure,DIS,3.85,3,Zookeepers in the enclosure: 3
"Tourists in the 
enclosure: 4","Probability the tourists
will escape: 35%","• You also see that there are also zookeepers at on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The  ","The 2 zookeepers died. 

The 4 tourists in the lion enclosure escaped.",4,50, tourists in the enclosure,EQUAL,2,2,Zookeepers in the enclosure: 2
"Tourists in the 
enclosure: 7","Probability the tourists
will escape: 65%","• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the group will be able to escape to safety ","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The  ","The 2 zookeepers died. 

The 7  tourists in the lion enclosure escaped.",7,35, tourists in the enclosure,AD,2.45,2,Zookeepers in the enclosure: 2
"Tourists in the 
enclosure: 8","Probability the tourists
will escape: 50%","• However, there is a chance that the group will make it to the ladder before the lion reaches them. ","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The  ","The 5 zookeepers died. 

The 8 tourists in the lion enclosure escaped.",8,65, tourists in the enclosure,EQUAL,~5,5,Zookeepers in the enclosure: 5
"Tourists in the 
enclosure: 3","Probability the tourists
will escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Throw the bait to the left, leaving the zookeepers to die
Do nothing: The zookeeper will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The  ","The 2 zookeepers died. 

The 3 tourists in the lion enclosure escaped.",3,65, tourists in the enclosure,EQUAL,~2,2,Zookeepers in the enclosure: 2
"People in the swimming
pool: 13","Probability the wire
will be caught in time: 50%","•There is a live wire dangling from an electric pole

 • There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,ad,8.45,9,Pedestrians on the sidewalk: 9
"People in the swimming
pool: 9","Probability the wire
will be caught in time: 35%","•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,ad,4.5,4,Pedestrians on the sidewalk: 4
"People in the swimming
pool: 9","Probability the wire
will be caught in time: 65%","•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,EQUAL,~3,3,Pedestrians on the sidewalk: 3
"People in the swimming
pool: 7","Probability the wire
will be caught in time: 35%","• However, the electrician might be able to catch the wire before it falls","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,ad,4.55,4,Pedestrians on the sidewalk: 4
"People in the swimming
pool: 6","Probability the wire
will be caught in time: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Throw the rock, redirecting the wire and killing the pedestrian
Do nothing: The pedestrian will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,equal,3,3,Pedestrians on the sidewalk: 3
Scuba divers in team: 10,"Probability EM pulse
will function: 35%","• You are working on a ship when you see a large group of sharks in the distance heading towards a team of scuba divers

• You know that when the sharks reach this group they will encircle them and kill them all ","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 10 far scuba divers were saved.",10,35, scuba divers,DIS,3.5,2,Close scuba divers: 2
Scuba divers in team: 5,"Probability EM pulse
will function: 65%","• You also know that there is another group of scuba divers who are closer to you and currently not in the path of the sharks 

• If you throw bait at this group of divers, the sharks will smell blood and switch trajectory away from the team of divers, but killing the closer group of divers","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 2 close scuba divers were saved.
 
The  ","The 2 close scuba divers died.

The 5 far scuba divers were saved.",5,35, scuba divers,ad,-1.75,2,Close scuba divers: 2
Scuba divers in team: 7,"Probability EM pulse
will function: 50%","• If you shoot the one diver, all of the divers will be spared","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 5 close scuba divers were saved.
 
The  ","The 5 close scuba divers died.

The 7 far scuba divers were saved.",7,65, scuba divers,dis,4.55,5,Close scuba divers: 5
Scuba divers in team: 8,"Probability EM pulse
will function: 50%","• You also know that the divers are carrying an electromagnetic (EM) pulse that will deter the sharks, but given the team's current depth there is only a small chance that the pulse will function 

• In order to ensure that the group will be spared, you must shoot the one diver now","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 6 close scuba divers were saved.
 
The  ","The 6 close scuba divers died.

The 8 far scuba divers were saved.",8,50, scuba divers,DIS,4,6,Close scuba divers: 6
Scuba divers in team: 6,"Probability EM pulse
will function: 35%","Consider each of the following scenarios and, for each one, determine what course of action you will take. ","Plan: Throw bait at the close divers, leaving them to get eaten by sharks
Do nothing: The close divers will live, the group of far divers has a chance of surviving","The 4 close scuba divers were saved.
 
The  ","The 4 close scuba divers died.

The 6 far scuba divers were saved.",6,65, scuba divers,EQUAL,~4,4,Close scuba divers: 4
People in the car: 10,Probability the people in the car will be able to escape in time: 50%,"• You are standing on a footbridge that is going over train tracks

• Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching","Plan: Push the pedestrians over, causing them to hit the train and die
Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50, people in the car,equal,5,5,Pedestrians on the bridge: 5
People in the car: 8,Probability the people in the car will be able to escape in time: 35%,"• There is a small group of pedestrians leaning over the footbridge

• You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car","Plan: Push the pedestrians over, causing them to hit the train and die
Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35, people in the car,ad,2.8,2,Pedestrians on the bridge: 2
People in the car: 4,Probability the people in the car will be able to escape in time: 65%,"• You also know that there is some chance the people in the car will be able to escape before the train comes

• If you push the pedestrians, they will certainly fall to their deaths","Plan: Push the pedestrians over, causing them to hit the train and die
Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65, people in the car,DIS,2.6,2,Pedestrians on the bridge: 2
People in the car: 6,Probability the people in the car will be able to escape in time: 35%,"• In order to ensure the people in the car will be saved, you would have to push the pedestrians now","Plan: Push the pedestrians over, causing them to hit the train and die
Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35, people in the car,ad,2.1,5,Pedestrians on the bridge: 5
People in the car: 10,Probability the people in the car will be able to escape in time: 35%,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ","Plan: Push the pedestrians over, causing them to hit the train and die
Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35, people in the car,dis,3.5,3,Pedestrians on the bridge: 3
Engineers near the cargo bay: 10,Probability the fire will be extinguished in time: 35%,"• Engineers and astronauts are doing maintenance repairs on a space station, and you are overseeing the repairs from a control center on Earth

•A fire suddenly breaks out in the cargo bay of the space station, adjacent to where the engineers are working","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 7 astronaunts lived.

The ","The 7 astronauts died.

The 10 engineers were saved.",10,35, engineers,dis,3.5,7,Astronauts in outer space: 7
Engineers near the cargo bay: 6,Probability the fire will be extinguished in time: 65%,"• There is a group of astronauts doing repairs outside of the space craft

•  You know that you could press a button that opens the cargo bay door to open, which would immediately extinguish the fire","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 6 engineers were saved.",6,65, engineers,dis,3.9,3,Astronauts in outer space: 3
Engineers near the cargo bay: 8,Probability the fire will be extinguished in time: 65%,"• If you do this, the impact of flying debris from inside of the cargo bay would kill the astronauts who are working outside of the space craft

• You also know that there is some chance the engineers may be able to put out the fire before a deadly explosion occurs","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 8 engineers were saved.",8,65, engineers,ad,5.2,4,Astronauts in outer space: 4
Engineers near the cargo bay: 11,Probability the fire will be extinguished in time: 35%,"• To ensure the engineers' safety, you would have to push the button now","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 3 astronaunts lived.

The ","The 3 astronauts died.

The 11 engineers were saved.",11,35, engineers,equal,~3,3,Astronauts in outer space: 3
Engineers near the cargo bay: 7,Probability the fire will be extinguished in time: 50%,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ","Plan: Push the button, putting out the fire but killing the astronauts
Do nothing: The astronauts will live, the engineers have a chance of surviving","The 4 astronaunts lived.

The ","The 4 astronauts died.

The 7 engineers were saved.",7,50, engineers,dis,3.5,4,Astronauts in outer space: 4
